PM10,NO,NO2,O3,PM25
10.048,0.16034,5.26289,50.74067,6.0
7.15,0.22447,7.4558,49.14411,3.0
9.082,2.85403,25.80007,33.57765,6.0
12.947,18.18241,56.26303,4.54022,5.0
11.981,32.19601,59.1995,2.6443,8.0
11.981,33.09391,53.679,8.48173,6.0
9.082,9.55619,37.46103,23.79872,9.0
7.15,9.0431,33.12901,20.30625,11.0
12.947,10.00514,34.23766,19.85722,9.0
10.048,15.68113,41.28081,16.6142,7.0
8.116,3.62366,21.0125,45.75142,6.0
12.947,3.71986,19.7925,40.01379,5.0
9.082,5.61186,28.4452,21.25421,3.0
7.15,5.22704,24.35525,26.09378,10.0
9.082,2.8861,16.97592,32.38023,6.0
4.251,2.40508,11.91223,34.6254,3.0
3.285,4.36121,15.83536,33.32819,2.0
2.319,1.76373,9.19063,51.58885,5.0
1.353,1.73166,6.60731,58.82326,5.0
1.353,1.18651,5.44445,63.56305,1.0
11.015,0.98313,2.5235,73.24219,14.0
8.116,0.81215,3.89093,76.50183,7.0
6.184,0.35265,1.94612,78.88004,3.0
9.082,0.57706,1.16318,78.03187,2.0
-0.58,0.28853,2.19072,73.14241,1.0
0.386,0.44882,4.04169,72.39402,5.0
1.353,3.17381,16.78368,58.07487,5.0
2.319,2.78911,15.22805,58.5239,2.0
9.082,3.91116,18.62755,55.77982,6.0
11.981,5.67439,22.11669,52.5867,5.0
5.217,6.31556,19.62196,56.32863,2.0
